1,139.0,145.50000000000003,147.5,152.2,150.5,143.10000000000002,151.9,151.7,147.2,153.29999999999998
3,120.2,134.0,132.89999999999998,145.59999999999997,136.4,153.40000000000003,146.5,148.1,146.2,146.4
2,128.0,136.10000000000002,143.79999999999998,143.5,149.9,147.3,152.2,150.7,144.99999999999997,158.70000000000002
4,121.2,123.9,137.70000000000002,136.8,139.6,139.10000000000002,144.20000000000002,144.2,140.5,155.2
5,121.10000000000001,126.1,129.4,132.4,133.1,139.8,141.29999999999998,137.3,139.3,152.20000000000002
6,122.09999999999998,116.39999999999998,127.3,128.2,139.5,142.9,144.20000000000002,144.60000000000002,145.0,155.60000000000002
8,120.2,121.60000000000001,120.89999999999999,126.60000000000002,134.9,134.6,137.5,139.5,154.6,151.39999999999998
10,127.10000000000001,127.79999999999998,126.80000000000001,131.6,137.3,145.5,146.3,148.10000000000002,145.3,151.2
7,122.89999999999999,131.70000000000002,121.89999999999999,122.9,129.5,128.10000000000002,130.1,135.8,150.5,146.1
9,113.8,126.4,124.2,132.4,131.89999999999998,142.0,133.29999999999998,151.7,151.29999999999998,152.2
