Kolom1;Kolom2;Kolom3;Kolom4;Kolom5;Kolom6;Kolom7;;;;;;;;;;;
1;86;77;71;64;101;86;;;;;;;;;;;
2;70;101;89;93;94;88;;;;;;;;;;;
3;71;77;67;87;83;118;;;;;;;;;;;
4;74;63;79;105;103;85;;;;;;;;;;;
5;81;89;77;85;98;83;;;;;;;;;;;
6;75;86;83;88;84;82;;;;;;;;;;;
7;71;83;84;94;90;93;;;;;;;;;;;
8;92;91;86;72;79;75;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;1;86;77;71;64;101;86;80,83333333
;;;;;;;;;;2;70;101;89;93;94;88;89,16666667
;;;;;;;;;;3;71;77;67;87;83;118;83,83333333
;;;;;;;;;;4;74;63;79;105;103;85;84,83333333
;;;;;;;;;;5;81;89;77;85;98;83;85,5
;;;;;;;;;;6;75;86;83;88;84;82;83
;;;;;;;;;;7;71;83;84;94;90;93;85,83333333
;;;;;;;;;;8;92;91;86;72;79;75;82,5
