tabu length,neighbours,malus_avg
100,20,-230.3
100,25,-220.5
100,30,-241.1
100,35,-225.1
100,40,-240.9
100,45,-240.7
100,50,-247.8
200,20,-237.5
200,25,-228.1
200,30,-228.5
200,35,-216.0
200,40,-234.6
200,45,-234.5
200,50,-242.0
300,20,-228.7
300,25,-213.5
300,30,-217.2
300,35,-227.0
300,40,-230.8
300,45,-227.0
300,50,-227.7
400,20,-248.0
400,25,-228.7
400,30,-226.9
400,35,-230.2
400,40,-229.1
400,45,-249.6
400,50,-224.8
500,20,-228.7
500,25,-228.0
500,30,-218.3
500,35,-237.4
500,40,-242.8
500,45,-233.2
500,50,-228.3
600,20,-234.9
600,25,-239.3
600,30,-217.6
600,35,-230.0
600,40,-244.7
600,45,-244.7
600,50,-232.3
700,20,-240.0
700,25,-228.9
700,30,-230.9
700,35,-238.2
700,40,-249.9
700,45,-231.2
700,50,-234.5
